Alg,Win,Time,Score
0,0,0:00:24.180701,173
0,1,0:00:23.942660,176
0,0,0:00:20.578403,171
0,0,0:00:06.596160,61
0,1,0:00:26.166628,176
0,0,0:00:03.511219,61
0,0,0:00:09.762259,153
0,1,0:00:10.580681,176
0,1,0:00:15.843380,176
0,1,0:00:12.591110,176
0,1,0:00:10.362259,176
0,0,0:00:09.684695,143
0,0,0:00:03.936322,61
0,0,0:00:11.218322,145
0,1,0:00:12.078730,176
0,0,0:00:09.128184,130
0,1,0:00:12.971768,176
0,1,0:00:11.068902,176
0,0,0:00:10.083079,166
0,0,0:00:03.427994,61
0,0,0:00:04.449056,73
0,1,0:00:13.177368,176
0,1,0:00:15.171370,176
0,0,0:00:03.171960,61
0,0,0:00:05.671393,69
0,0,0:00:14.041818,166
0,0,0:00:03.459379,61
0,0,0:00:04.369401,74
0,0,0:00:05.577728,84
0,0,0:00:09.782163,147
0,0,0:00:10.239745,139
0,1,0:00:11.484652,176
0,1,0:00:10.094825,176
0,1,0:00:13.539559,176
0,1,0:00:12.252973,176
0,1,0:00:11.361826,176
0,0,0:00:06.341077,87
0,1,0:00:14.499051,176
0,1,0:00:14.256250,176
0,0,0:00:03.508479,61
0,0,0:00:11.839219,154
0,1,0:00:12.159760,176
0,1,0:00:10.948840,176
0,1,0:00:11.393879,176
0,0,0:00:03.481734,61
0,1,0:00:13.793463,176
0,1,0:00:12.286625,176
0,0,0:00:14.350067,174
0,0,0:00:10.894562,143
0,0,0:00:04.326548,63
1,0,0:00:01.927149,23
1,0,0:00:01.711302,23
1,0,0:00:11.562169,174
1,0,0:00:04.578143,90
1,0,0:00:08.265705,142
1,0,0:00:09.832611,155
1,1,0:00:14.928779,176
1,0,0:00:12.104481,159
1,0,0:00:07.157956,148
1,0,0:00:09.835433,172
1,1,0:00:10.341061,176
1,0,0:00:04.409923,81
1,0,0:00:10.243200,173
1,1,0:00:12.084790,176
1,0,0:00:13.066116,162
1,0,0:00:09.743019,172
1,1,0:00:09.923003,176
1,0,0:00:06.321029,117
1,0,0:00:04.550354,53
1,0,0:00:05.452886,86
1,1,0:00:12.905892,176
1,0,0:00:09.729954,171
1,0,0:00:07.306924,131
1,0,0:00:09.284781,137
1,0,0:00:09.356340,171
1,0,0:00:08.885899,148
1,1,0:00:12.082582,176
1,0,0:00:04.355688,82
1,0,0:00:11.443243,157
1,0,0:00:06.804325,140
1,0,0:00:07.126685,145
1,0,0:00:09.416888,173
1,0,0:00:10.441815,173
1,1,0:00:12.164534,176
1,0,0:00:10.634292,159
1,0,0:00:06.565830,130
1,0,0:00:04.145423,83
1,1,0:00:11.914726,176
1,1,0:00:11.944290,176
1,1,0:00:12.619311,176
1,0,0:00:09.994793,158
1,0,0:00:07.926011,172
1,1,0:00:12.035817,176
1,0,0:00:07.846309,139
1,0,0:00:11.265737,158
1,0,0:00:09.792452,158
1,0,0:00:13.466913,174
1,0,0:00:07.002114,140
1,0,0:00:11.466829,158
1,1,0:00:13.665428,176
